method,target_label,k,theta,input_idx,input_row_index,input_id,parent_smiles,parent_label,p_before,before_teacher_label,recourse_smiles,fragment_rank,fragment_smiles,candidate_rank,candidate_index,candidate_label,p_after,after_teacher_label,cf_drop,cf_flip,cost,proxy_edit,valid_recourse,covered,coverage_theta,coverage_unconstrained_flip,reason
ours_selected_subgraph,1,10,0.05,10,352,352,O=S(=O)(O)c1cc2ccc1C=Cc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(c(S(=O)(=O)O)c1)C=Cc1ccc(cc1S(=O)(=O)O)N=N2,1,0.73,1,N=Nc1ccc(C=Cc2ccc(N=Nc3cccc(S(=O)(=O)O)c3)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1.O.O.O,5,C=Cc1ccccc1S,,,,0.5266666666666666,1,0.20333333333333337,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,11,353,353,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4O)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,1,0.8566666666666667,1,C:C:C(:C:C)N=Nc1cc(S(=O)(=O)O)c2ccccc2c1N.N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O,1,Cc1ccccc1,,,,0.47333333333333333,0,0.38333333333333336,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,12,361,361,O=S(c1ccccc1O)S(=O)c1ccccc1O,1,0.006666666666666667,0,O.O=[SH]S(=O)c1ccccc1O,2,c1ccccc1,,,,0.01,0,-0.003333333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,13,384,384,O=S1(=O)OC(c2cc(Cl)c(O)c(Br)c2)(c2cc(Cl)c(O)c(Br)c2)c2ccccc21,1,0.65,1,C:C(Cl):C(O):C(:C)Br.C:C(Cl):C(O):C(:C)Br.O=[SH](=O)c1ccccc1,8,CC(C)O,,,,0.04666666666666667,0,0.6033333333333334,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,14,387,387,Cc1c(C2(c3cc(C(C)C)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(C(C)C)c(O)c1Br,1,0.67,1,C:C(:C(O):C(Br):CC)C(C)C.C:C(:C(O):C(Br):CC)C(C)C.O=[SH](=O)c1ccccc1,8,CC(C)O,,,,0.03333333333333333,0,0.6366666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,15,429,429,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,1,0.6233333333333333,1,CC(C)=CCC1OC1(C)CC1(C)CO1.CO.O=CC=CC=CC=CC=CC(=O)O,8,CC(C)O,,,,0.12,0,0.5033333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,16,434,434,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(C)C(O)C(O)C5O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,1,0.65,1,CC1OC(OCC2OC(OC:C(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4O)cc3O)C(O)C(O)C2O)C(O)C(O)C1O.O,1,Cc1ccccc1,,,,0.25666666666666665,0,0.39333333333333337,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,17,443,443,COc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(OC)c2)ccc1N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,1,0.94,1,C:C:C(N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O):C(:C)OC.CO.N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,1,Cc1ccccc1,,,,0.56,1,0.3799999999999999,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,18,498,498,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)ccc34)c(S(=O)(=O)O)c2)cc1,1,0.8533333333333334,1,C:C:C(:C:C)N=Nc1c(N)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc12.N=Nc1c(N)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc12.O=[SH](=O)O,1,Cc1ccccc1,,,,0.36666666666666664,0,0.48666666666666675,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,19,499,499,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,1,0.7033333333333334,1,C.Cc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O.N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,2,c1ccccc1,,,,0.38666666666666666,0,0.3166666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,20,654,654,C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,1,0.6566666666666666,1,C#CC1(O)CCC2C(CC)CCCC21C.CC(C)=O,10,C=CC,,,,0.02666666666666667,0,0.63,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,21,676,676,c1ccc2c3c(ccc2c1)[O][Fe-4]12([O]c4ccc5ccccc5c4N=[O+]1)([O]c1ccc4ccccc4c1N=[O+]2)[O+]=N3,1,0.016666666666666666,0,C:CC1=CN=[O+][Fe-4]23([O]1)([O]c1ccc4ccccc4c1N=[O+]2)[O]c1ccc2ccccc2c1N=[O+]3,2,c1ccccc1,,,,0.03333333333333333,0,-0.016666666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,22,699,699,O=S1c2ccccc2Sc2ccccc21,1,0.006666666666666667,0,O=[SH]c1ccccc1S,2,c1ccccc1,,,,0.24,0,-0.23333333333333334,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,23,740,740,COc1cc2nncc(S)c2cc1OC,1,0.6633333333333333,1,CO.CO.N:N:C:CS,2,c1ccccc1,,,,0.0033333333333333335,0,0.66,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,24,818,818,CC(=O)C1=C(C)C2=Cc3c(C(C)=O)c(C)c4[n]3[Fe-3]35([Cl])[n]6c(c(C)c(CCC(=O)O)c6=CC6=[N+]3C(=C4)C(C)=C6CCC(=O)O)=CC1=[N+]25,1,0.66,1,CC(=O)c1c(C)c2[n]3c1C=C[N+]1=CC=c4c(C)c(CCC(=O)O)c5[n]4[Fe-3]31([Cl])[N+]1=C(C=5)C(CCC(=O)O)=C(C)C1=C2.CC=O,10,C=CC,,,,0.31333333333333335,0,0.3466666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,25,869,869,N=C(N)Nc1ccccc1SSc1ccccc1NC(=N)N.O=S(=O)(O)O,1,0.7166666666666667,1,N=C(N)N.N=C(N)Nc1ccccc1SS.O=S(=O)(O)O,2,c1ccccc1,,,,0.30666666666666664,0,0.41000000000000003,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,26,879,879,COC(=S)SSC(=S)NCCN(CCNC(=S)SSC(=S)OC)C(=S)SSC(=S)OC,1,0.6033333333333334,1,,,,,,,,,,False,,,False,False,False,False,no_selected_fragment_substructure
ours_selected_subgraph,1,10,0.05,27,978,978,O=c1[nH]c2cc(Cl)c(Br)cc2o1,1,0.6333333333333333,1,Br.Cl.N:C(=O):O,2,c1ccccc1,,,,0.02,0,0.6133333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,28,996,996,COc1ccc(C)cc1S(=O)(=O)c1c(Cl)cccc1[N+](=O)[O-],1,0.6866666666666666,1,CO.O=[N+]([O-])c1cccc(Cl)c1[SH](=O)=O,1,Cc1ccccc1,,,,0.013333333333333334,0,0.6733333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,29,1004,1004,Cc1c(N=Nc2cc(N=Nc3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3)c(N)cc2N)cccc1S(=O)(=O)O,1,0.8466666666666667,1,C.N=Nc1cc(N=Nc2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)c(N)cc1N.O=[SH](=O)O,2,c1ccccc1,,,,0.17,0,0.6766666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,30,1059,1059,NC(=O)CSSCC(N)=O,1,0.023333333333333334,0,,,,,,,,,,False,,,False,False,False,False,no_selected_fragment_substructure
ours_selected_subgraph,1,10,0.05,31,1153,1153,O=[N+]([O-])c1ccc(C=Cc2ccc(N=Nc3ccc(C=Cc4ccc([N+](=O)[O-])cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1,0.7866666666666666,1,N=Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1.O.O.O.O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,5,C=Cc1ccccc1S,,,,0.34,0,0.4466666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,32,1195,1195,O=C(O)c1cc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)ccc1O,1,0.9,1,N=Nc1ccc(O)c(C(=O)O)c1.O.O.O.O=C(O)c1cc(N=Nc2cccc(S(=O)(=O)O)c2)ccc1O,5,C=Cc1ccccc1S,,,,0.22666666666666666,0,0.6733333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,33,1196,1196,O=S(=O)(O)c1cc(N=Nc2ccc(O)c3ccccc23)ccc1C=Cc1ccc(N=Nc2ccc(O)c3ccccc23)cc1S(=O)(=O)O,1,0.8366666666666667,1,N=Nc1ccc(O)c2ccccc12.O.O.O.O=S(=O)(O)c1cccc(N=Nc2ccc(O)c3ccccc23)c1,5,C=Cc1ccccc1S,,,,0.32,0,0.5166666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,34,1198,1198,O=S(=O)(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)cc1S(=O)(=O)O,1,0.95,1,C:C:C(:C:CS(=O)(=O)O)N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O.O=S(=O)(O)c1cccc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)c1,10,C=CC,,,,0.39,0,0.5599999999999999,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,35,1199,1199,O=C(O)c1cc2ccccc2c(N=Nc2ccc(C=Cc3ccc(N=Nc4c(O)c(C(=O)O)cc5ccccc45)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)c1O,1,0.61,1,C:C:C(:C:CS(=O)(=O)O)N=Nc1c(O)c(C(=O)O)cc2ccccc12.O=C(O)c1cc2ccccc2c(N=Nc2cccc(S(=O)(=O)O)c2)c1O,10,C=CC,,,,0.23666666666666666,0,0.3733333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,36,1200,1200,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,1,0.89,1,C.Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(N)=O)c2)c1.O=CNc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12,2,c1ccccc1,,,,0.7066666666666667,1,0.18333333333333335,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,37,1212,1212,c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,1,0.6733333333333333,1,N:C(:N)SSc1nc2ccccc2[nH]1,2,c1ccccc1,,,,0.45666666666666667,0,0.21666666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,38,1266,1266,O=C1c2ccccc2C(=O)c2c(S)cccc21,1,0.7066666666666667,1,C:C:C:C:CC(=O)C:C(S):C:C:C.O,3,CCC,,,,0.03,0,0.6766666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,39,1277,1277,Nc1cc(C(=O)O)ccc1SSc1ccc(C(=O)O)cc1N,1,0.7,1,N.Nc1cc(C(=O)O)ccc1SS.O=CO,2,c1ccccc1,,,,0.17333333333333334,0,0.5266666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,40,1322,1322,CC(=O)Nc1ccc(S2=Nc3ccccc3S2)cc1,1,0.6633333333333333,1,CC(N)=O.c1ccc2c(c1)N=[SH]S2,2,c1ccccc1,,,,0.04,0,0.6233333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,41,1461,1461,Cc1cc(Cc2cc(C)cc(S(=O)(=O)O)c2O)c(O)c(S(=O)(=O)O)c1,1,0.7966666666666666,1,C:C(C):C:C(:CO)S(=O)(=O)O.C:C(C):C:C(:CO)S(=O)(=O)O,3,CCC,,,,0.01,0,0.7866666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,42,1482,1482,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,1,0.6733333333333333,1,C:C:C(OC):C(:C)O.CC1OC(OCC2OC(Oc3ccc(C=O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O,8,CC(C)O,,,,0.19666666666666666,0,0.4766666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,43,1510,1510,CN(c1ccc(C(N)=O)cc1)c1c(O)nc2ccccc2c1O,1,0.6466666666666666,1,CNc1c(O)nc2ccccc2c1O.NC=O,2,c1ccccc1,,,,0.016666666666666666,0,0.6299999999999999,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,44,1511,1511,COc1ccc(OC)c(N=Nc2c(O)nc3ccccc3c2O)c1,1,0.68,1,CO.CO.N=Nc1c(O)nc2ccccc2c1O,2,c1ccccc1,,,,0.05,0,0.63,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,45,1528,1528,O=C(Nc1ccc2c(O)c(N=Nc3ccc4c(O)cc(S(=O)(=O)O)cc4c3)c(S(=O)(=O)O)cc2c1)c1ccccc1,1,0.89,1,C:C(:C(:CO)N=Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)S(=O)(=O)O.NC(=O)c1ccccc1,2,c1ccccc1,,,,0.25,0,0.64,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,46,1530,1530,O=C(Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1)c1ccc(N=Nc2ccc3c(S(=O)(=O)O)cccc3c2O)cc1,1,0.7866666666666666,1,N=Nc1ccc2c(S(=O)(=O)O)cccc2c1O.Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1.O,1,Cc1ccccc1,,,,0.5033333333333333,1,0.2833333333333333,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,47,1532,1532,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1,1,0.9466666666666667,1,C:C(:C:CO)S(=O)(=O)O.NC(=O)Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1,2,c1ccccc1,,,,0.7033333333333334,1,0.2433333333333333,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,48,1533,1533,CC(=O)Nc1cc2c(O)c(N=Nc3ccc(C(=O)Nc4ccc(N=Nc5ccc(S(=O)(=O)O)cc5)cc4)cc3)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O,1,0.8366666666666667,1,C:C(:C(:CO)N=Nc1ccc(C(=O)Nc2ccc(N=Nc3ccc(S(=O)(=O)O)cc3)cc2)cc1)S(=O)(=O)O.CC(N)=O.O=[SH](=O)O,2,c1ccccc1,,,,0.2733333333333333,0,0.5633333333333334,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,49,1534,1534,Cc1cc(NC(=O)c2ccc(N)cc2)ccc1N=Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1,1,0.98,1,C.N=Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1.NC(=O)c1ccc(N)cc1,2,c1ccccc1,,,,0.5966666666666667,1,0.3833333333333333,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,50,1535,1535,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(NC(=O)Nc3ccc4c(O)c(N=Nc5c(N)ccc6cc(S(=O)(=O)O)ccc56)c(S(=O)(=O)O)cc4c3)ccc2c1O,1,0.9033333333333333,1,CO.N=Nc1c(S(=O)(=O)O)cc2cc(NC(=O)Nc3ccc4c(O)c(N=Nc5c(N)ccc6cc(S(=O)(=O)O)ccc56)c(S(=O)(=O)O)cc4c3)ccc2c1O,2,c1ccccc1,,,,0.73,1,0.17333333333333334,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,51,1571,1571,CC1=NN(c2ccc(Cl)cc2S(=O)(=O)O)C(=O)C1N=Nc1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,1,0.7733333333333333,1,CC1=NNC(=O)C1N=Nc1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1.Cl.O=[SH](=O)O,2,c1ccccc1,,,,0.06666666666666667,0,0.7066666666666667,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,52,1572,1572,O=S(=O)(O)c1cc(O)c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)O)cc2c1,1,0.7066666666666667,1,C:C(:C:CN=Nc1ccc(Nc2ccccc2)c2c(S(=O)(=O)O)cccc12)S(=O)(=O)O.O.O=[SH](=O)O,2,c1ccccc1,,,,0.25666666666666665,0,0.45,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,53,1575,1575,O=[N+]([O-])c1ccc(N=Nc2c(O)c(N=Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3O)cc(N=Nc3cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(O)c34)c2O)cc1,1,0.14,0,N=Nc1c(O)c(N=Nc2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)cc(N=Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(O)c23)c1O.O=[N+][O-],2,c1ccccc1,,,,0.12333333333333334,0,0.016666666666666677,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,54,1576,1576,Cc1cc(-c2ccc(N=Nc3c(N)c(C)cc(S(=O)(=O)O)c3N)c(C)c2)ccc1N=Nc1ccc(O)c(C(=O)O)c1,1,0.9233333333333333,1,C.Cc1ccccc1N=Nc1c(N)c(C)cc(S(=O)(=O)O)c1N.N=Nc1ccc(O)c(C(=O)O)c1,2,c1ccccc1,,,,0.6333333333333333,1,0.29000000000000004,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,55,1577,1577,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,1,0.7966666666666666,1,CCOc1ccc(N=N)cc1.CCOc1ccc(N=Nc2cccc(S(=O)(=O)O)c2)cc1.O.O.O,5,C=Cc1ccccc1S,,,,0.18333333333333332,0,0.6133333333333333,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,56,1578,1578,O=S(=O)(O)c1cccc(N=Nc2ccc(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)c3ccccc23)c1,1,0.7533333333333333,1,N=Nc1ccc(N=Nc2ccc(Nc3ccccc3)c3c(S(=O)(=O)O)cccc23)c2ccccc12.O=[SH](=O)O,2,c1ccccc1,,,,0.2966666666666667,0,0.4566666666666666,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,57,1579,1579,Nc1cccc(N=Nc2c(S(=O)(=O)O)cc3cc(NC(=O)Nc4ccc5c(O)c(N=Nc6cccc(N)c6)c(S(=O)(=O)O)cc5c4)ccc3c2O)c1,1,0.74,1,N.N=Nc1c(S(=O)(=O)O)cc2cc(NC(=O)Nc3ccc4c(O)c(N=Nc5cccc(N)c5)c(S(=O)(=O)O)cc4c3)ccc2c1O,2,c1ccccc1,,,,0.6633333333333333,1,0.07666666666666666,False,,,True,False,False,False,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,58,1580,1580,O=S(=O)(O)c1cc2nc3c4cccc(S(=O)(=O)O)c4c(Nc4ccccc4)cc3[n+](-c3ccccc3)c2cc1Nc1ccccc1,1,0.72,1,Nc1c([N+]c2ccccc2)cc(Nc2ccccc2)c2c(S(=O)(=O)O)cccc12.Nc1ccccc1.O=[SH](=O)O,2,c1ccccc1,,,,0.36,0,0.36,True,,,True,False,False,True,no_theta_feasible_flip
ours_selected_subgraph,1,10,0.05,59,1583,1583,Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,1,0.8,1,N.N.N=Nc1ccc(N=Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)c(N=Nc4ccc(N=Nc5ccc(N)cc5N)cc4)c(O)c3c2N)cc1,2,c1ccccc1,,,,0.7366666666666667,1,0.06333333333333335,False,,,True,False,False,False,no_theta_feasible_flip
