method,input_idx,parent_smiles,nearest_fullgraph_rank,nearest_fullgraph_smiles,nearest_distance_proxy,fullgraph_cf_flip,mcs_num_atoms,mcs_num_bonds,deleted_motif_smiles,canonical_motif_smiles,motif_atom_count,motif_bond_count,component_count,valid_motif,failure_reason
gt_fullgraph_greedy,11,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4O)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6060606060606061,True,19,20,Nc1c(N=Nc2ccccc2)cc(S(=O)(=O)O)c2ccccc12,Nc1c(N=Nc2ccccc2)cc(S(=O)(=O)O)c2ccccc12,23,25,2,True,ok
gt_fullgraph_greedy,12,O=S(c1ccccc1O)S(=O)c1ccccc1O,4,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.5555555555555556,True,8,8,O=Sc1ccccc1O,O=[SH]c1ccccc1O,9,9,2,True,ok
gt_fullgraph_greedy,13,O=S1(=O)OC(c2cc(Cl)c(O)c(Br)c2)(c2cc(Cl)c(O)c(Br)c2)c2ccccc21,10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.4392523364485981,True,15,15,Oc1c(Cl)cccc1Br,Oc1c(Cl)cccc1Br,9,9,4,True,ok
gt_fullgraph_greedy,14,Cc1c(C2(c3cc(C(C)C)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(C(C)C)c(O)c1Br,10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.4957983193277311,True,15,15,Cc1ccc(C(C)C)c(O)c1Br,Cc1ccc(C(C)C)c(O)c1Br,12,12,5,True,ok
gt_fullgraph_greedy,15,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.6491228070175439,True,10,10,O=CC=CC=CC=CC=CC(=O)O,O=CC=CC=CC=CC=CC(=O)O,13,12,5,True,ok
gt_fullgraph_greedy,16,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(C)C(O)C(O)C5O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.432258064516129,True,21,23,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1O,21,22,2,True,ok
gt_fullgraph_greedy,17,COc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(OC)c2)ccc1N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6548672566371682,True,19,20,COc1ccccc1N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,COc1ccccc1N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,30,32,5,True,ok
gt_fullgraph_greedy,18,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)ccc34)c(S(=O)(=O)O)c2)cc1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6576576576576577,True,18,20,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc2c1N=Nc1ccccc1S(=O)(=O)O,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc2c1N=Nc1ccccc1S(=O)(=O)O,31,33,4,True,ok
gt_fullgraph_greedy,19,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6486486486486487,True,19,20,Cc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,Cc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,29,31,5,True,ok
gt_fullgraph_greedy,20,C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,20,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,0.14893617021276595,True,19,21,C#C,C#C,2,1,2,True,ok
gt_fullgraph_greedy,21,c1ccc2c3c(ccc2c1)[O][Fe-4]12([O]c4ccc5ccccc5c4N=[O+]1)([O]c1ccc4ccccc4c1N=[O+]2)[O+]=N3,15,c1ccc2c(c1)cc1c3[nH]c4ccccc4c3ccn21,0.6666666666666666,True,11,11,[O][Fe-4]12([O+])([O]c3ccc4ccccc4c3N=[O+]1)[O]c1ccc3ccccc3c1N=[O+]2,[O][Fe-4]12([O+])([O]c3ccc4ccccc4c3N=[O+]1)[O]c1ccc3ccccc3c1N=[O+]2,29,34,1,True,ok
gt_fullgraph_greedy,22,O=S1c2ccccc2Sc2ccccc21,14,O=C1CSc2ccccc2-n2cccc21,0.1875,True,13,13,O,O,1,0,2,False,motif_too_small
gt_fullgraph_greedy,23,COc1cc2nncc(S)c2cc1OC,20,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,0.4358974358974359,True,11,11,nn,,,,3,False,motif_parse_failed
gt_fullgraph_greedy,24,CC(=O)C1=C(C)C2=Cc3c(C(C)=O)c(C)c4[n]3[Fe-3]35([Cl])[n]6c(c(C)c(CCC(=O)O)c6=CC6=[N+]3C(=C4)C(C)=C6CCC(=O)O)=CC1=[N+]25,19,N#CC(=Cc1ccccc1)c1ccccc1,0.7727272727272727,True,8,7,CC(=O)C1=C(C)C[N+]2=C1C=c1c(C)c(CCC(=O)O)c3[n]1[Fe-3]2([Cl])([n])[N+]1=C(C=3)C(CCC(=O)O)=C(C)C1,,,,3,False,motif_parse_failed
gt_fullgraph_greedy,25,N=C(N)Nc1ccccc1SSc1ccccc1NC(=N)N.O=S(=O)(O)O,18,Cl.Nc1ccccc1Sc1ccc(Cl)cc1,0.627906976744186,True,8,8,N=C(N)Nc1ccccc1S,N=C(N)Nc1ccccc1S,11,11,3,True,ok
gt_fullgraph_greedy,26,COC(=S)SSC(=S)NCCN(CCNC(=S)SSC(=S)OC)C(=S)SSC(=S)OC,12,CCc1c(Cc2ccccc2)n(COCCCO[Si](C)(C)C(C)(C)C)c(=O)[nH]c1=O,0.9180327868852459,True,3,2,COC(=S)SSC(=S)NCCN(CCNC(=S)SS)C(=S)SSC(=S)OC,COC(=S)SSC(=S)NCCN(CCNC(=S)SS)C(=S)SSC(=S)OC,27,26,2,True,ok
gt_fullgraph_greedy,27,O=c1[nH]c2cc(Cl)c(Br)cc2o1,16,CC1=Nc2ccccc2NC(=O)C1,0.3076923076923077,True,9,9,Cl,Cl,1,0,3,False,motif_too_small
gt_fullgraph_greedy,28,COc1ccc(C)cc1S(=O)(=O)c1c(Cl)cccc1[N+](=O)[O-],4,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.225,True,15,16,O=[N+][O-],O=[N+][O-],3,2,4,True,ok
gt_fullgraph_greedy,29,Cc1c(N=Nc2cc(N=Nc3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3)c(N)cc2N)cccc1S(=O)(=O)O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6021505376344086,True,18,19,N=Nc1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,N=Nc1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,20,21,4,True,ok
gt_fullgraph_greedy,30,NC(=O)CSSCC(N)=O,19,N#CC(=Cc1ccccc1)c1ccccc1,0.8846153846153846,True,2,1,NC(=O)CSS,NC(=O)CSS,6,5,3,True,ok
gt_fullgraph_greedy,31,O=[N+]([O-])c1ccc(C=Cc2ccc(N=Nc3ccc(C=Cc4ccc([N+](=O)[O-])cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.38461538461538464,True,31,33,C=Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,C=Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,15,15,4,True,ok
gt_fullgraph_greedy,32,O=C(O)c1cc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)ccc1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.19387755102040816,True,38,41,O=CO,O=CO,3,2,4,True,ok
gt_fullgraph_greedy,33,O=S(=O)(O)c1cc(N=Nc2ccc(O)c3ccccc23)ccc1C=Cc1ccc(N=Nc2ccc(O)c3ccccc23)cc1S(=O)(=O)O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.039603960396039604,True,46,51,O,O,1,0,2,False,motif_too_small
gt_fullgraph_greedy,34,O=S(=O)(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3ccccc3c2O)cc1S(=O)(=O)O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.09174311926605505,True,48,51,O=S(=O)O,O=[SH](=O)O,4,3,2,True,ok
gt_fullgraph_greedy,35,O=C(O)c1cc2ccccc2c(N=Nc2ccc(C=Cc3ccc(N=Nc4c(O)c(C(=O)O)cc5ccccc45)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)c1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.056074766355140186,True,48,53,O=CO,O=CO,3,2,2,True,ok
gt_fullgraph_greedy,36,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,8,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Nc3c4ccccc4nc4c(C(=O)Nc5ccc(S(N)(=O)=O)cc5)cccc34)cc2)n1,0.7318840579710145,True,18,19,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(N)=O)c2)c1,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(N)=O)c2)c1,54,58,4,True,ok
gt_fullgraph_greedy,37,c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,16,CC1=Nc2ccccc2NC(=O)C1,0.4857142857142857,True,9,9,SSc1nc2ccccc2[nH]1,SSc1nc2ccccc2[nH]1,11,12,1,True,ok
gt_fullgraph_greedy,38,O=C1c2ccccc2C(=O)c2c(S)cccc21,15,c1ccc2c(c1)cc1c3[nH]c4ccccc4c3ccn21,0.3,True,14,14,O,O,1,0,3,False,motif_too_small
gt_fullgraph_greedy,39,Nc1cc(C(=O)O)ccc1SSc1ccc(C(=O)O)cc1N,18,Cl.Nc1ccccc1Sc1ccc(Cl)cc1,0.5844155844155844,True,8,8,Nc1cc(C(=O)O)ccc1S,Nc1cc(C(=O)O)ccc1S,11,11,2,True,ok
gt_fullgraph_greedy,40,CC(=O)Nc1ccc(S2=Nc3ccccc3S2)cc1,14,O=C1CSc2ccccc2-n2cccc21,0.5555555555555556,True,8,8,CC(=O)Nc1ccc(S)cc1,CC(=O)Nc1ccc(S)cc1,11,11,1,True,ok
gt_fullgraph_greedy,41,Cc1cc(Cc2cc(C)cc(S(=O)(=O)O)c2O)c(O)c(S(=O)(=O)O)c1,2,CCCCCC=C(c1cc(C)c(OC)c(C(=O)OC)c1)c1cc(C)c(OC)c(C(=O)OC)c1,0.4745762711864407,True,15,16,O=S(=O)O,O=[SH](=O)O,4,3,4,True,ok
gt_fullgraph_greedy,42,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,10,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.35294117647058826,True,21,23,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1O,21,22,2,True,ok
gt_fullgraph_greedy,43,CN(c1ccc(C(N)=O)cc1)c1c(O)nc2ccccc2c1O,16,CC1=Nc2ccccc2NC(=O)C1,0.4666666666666667,True,10,10,CNc1ccc(C(N)=O)cc1,CNc1ccc(C(N)=O)cc1,11,11,3,True,ok
gt_fullgraph_greedy,44,COc1ccc(OC)c(N=Nc2c(O)nc3ccccc3c2O)c1,16,CC1=Nc2ccccc2NC(=O)C1,0.4805194805194805,True,10,10,COc1ccc(OC)c(N=N)c1,COc1ccc(OC)c(N=N)c1,12,12,3,True,ok
gt_fullgraph_greedy,45,O=C(Nc1ccc2c(O)c(N=Nc3ccc4c(O)cc(S(=O)(=O)O)cc4c3)c(S(=O)(=O)O)cc2c1)c1ccccc1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5080213903743316,True,23,23,NC(=O)c1ccccc1,NC(=O)c1ccccc1,9,9,3,True,ok
gt_fullgraph_greedy,46,O=C(Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1)c1ccc(N=Nc2ccc3c(S(=O)(=O)O)cccc3c2O)cc1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5751295336787565,True,20,21,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,19,20,3,True,ok
gt_fullgraph_greedy,47,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6213592233009708,True,19,20,NC(=O)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,NC(=O)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,19,20,3,True,ok
gt_fullgraph_greedy,48,CC(=O)Nc1cc2c(O)c(N=Nc3ccc(C(=O)Nc4ccc(N=Nc5ccc(S(=O)(=O)O)cc5)cc4)cc3)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6076555023923444,True,20,21,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,19,20,5,True,ok
gt_fullgraph_greedy,49,Cc1cc(NC(=O)c2ccc(N)cc2)ccc1N=Nc1ccc2c(O)c(N=Nc3ccc4cc(S(=O)(=O)O)ccc4c3)c(S(=O)(=O)O)cc2c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6213592233009708,True,19,20,Cc1cc(NC(=O)c2ccc(N)cc2)ccc1N=N,Cc1cc(NC(=O)c2ccc(N)cc2)ccc1N=N,19,20,3,True,ok
gt_fullgraph_greedy,50,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(NC(=O)Nc3ccc4c(O)c(N=Nc5c(N)ccc6cc(S(=O)(=O)O)ccc56)c(S(=O)(=O)O)cc4c3)ccc2c1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5982532751091703,True,23,23,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(NC(N)=O)ccc2c1O,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(NC(N)=O)ccc2c1O,29,31,3,True,ok
gt_fullgraph_greedy,51,CC1=NN(c2ccc(Cl)cc2S(=O)(=O)O)C(=O)C1N=Nc1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,4,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.6785714285714286,True,9,9,CC1=NNC(=O)C1N=Nc1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,CC1=NNC(=O)C1N=Nc1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,26,28,3,True,ok
gt_fullgraph_greedy,52,O=S(=O)(O)c1cc(O)c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)O)cc2c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5132275132275133,True,22,24,cc(S(=O)(=O)O)ccO,,,,3,False,motif_parse_failed
gt_fullgraph_greedy,53,O=[N+]([O-])c1ccc(N=Nc2c(O)c(N=Nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3O)cc(N=Nc3cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(O)c34)c2O)cc1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6372093023255814,True,19,20,N=Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,N=Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,15,15,4,True,ok
gt_fullgraph_greedy,54,Cc1cc(-c2ccc(N=Nc3c(N)c(C)cc(S(=O)(=O)O)c3N)c(C)c2)ccc1N=Nc1ccc(O)c(C(=O)O)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6021505376344086,True,18,19,Cc1ccccc1N=Nc1ccc(O)c(C(=O)O)c1,Cc1ccccc1N=Nc1ccc(O)c(C(=O)O)c1,19,20,5,True,ok
gt_fullgraph_greedy,55,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.17708333333333334,True,38,41,CCO,CCO,3,2,2,True,ok
gt_fullgraph_greedy,56,O=S(=O)(O)c1cccc(N=Nc2ccc(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)c3ccccc23)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5306122448979592,True,22,24,N=Nc1ccc(Nc2ccccc2)c2c(S(=O)(=O)O)cccc12,N=Nc1ccc(Nc2ccccc2)c2c(S(=O)(=O)O)cccc12,23,25,1,True,ok
gt_fullgraph_greedy,57,Nc1cccc(N=Nc2c(S(=O)(=O)O)cc3cc(NC(=O)Nc4ccc5c(O)c(N=Nc6cccc(N)c6)c(S(=O)(=O)O)cc5c4)ccc3c2O)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6285714285714286,True,19,20,NC(=O)Nc1ccc2c(O)c(N=Nc3cccc(N)c3)c(S(=O)(=O)O)cc2c1,NC(=O)Nc1ccc2c(O)c(N=Nc3cccc(N)c3)c(S(=O)(=O)O)cc2c1,28,30,3,True,ok
gt_fullgraph_greedy,58,O=S(=O)(O)c1cc2nc3c4cccc(S(=O)(=O)O)c4c(Nc4ccccc4)cc3[n+](-c3ccccc3)c2cc1Nc1ccccc1,11,CC(C)(C)C1CCC2c3c([nH]c4ccccc34)C3C(=O)N(c4ccc(Br)cc4)C(=O)C3C2C1,0.42011834319526625,True,24,25,Nc1ccccc1,Nc1ccccc1,7,7,4,True,ok
gt_fullgraph_greedy,59,Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.6422018348623854,True,19,20,N=Nc1ccc(N=Nc2ccc(N)cc2N)cc1,N=Nc1ccc(N=Nc2ccc(N)cc2N)cc1,18,19,5,True,ok
gt_fullgraph_greedy,60,CCOc1cc(N=Nc2cc(Cl)c(S(=O)(=O)O)cc2Cl)c2cc(S(=O)(=O)O)ccc2c1N=Nc1c(S(=O)(=O)O)cc2cc(NC(=O)c3ccc(N)cc3)ccc2c1O,1,O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1C=Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O,0.5855855855855856,True,23,23,cc(N=Nc1cc(Cl)c(S(=O)(=O)O)cc1Cl)ccOCC,,,,3,False,motif_parse_failed
